biz_name,biz_info,e_address,e_city,e_state,e_postal,e_country,loc_county,loc_FIPS,loc_MSA,loc_PMSA,loc_TZ,loc_DST,biz_phone,biz_email,web_url,img_url,c_type,c_years,c_setting,c_housing,c_pop,c_ratio,c_tuition,oos_tuition,rank,acceptance_rate,majors,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8
Claremont School of Theology,Master's degree,1325 N College Ave,Claremont,CA,91711,USA,Los Angeles,6037,,4480,PST,Y,(909) 447-2500,,http://www.cst.edu,,Private (Not For Profit),4 Years,Suburb: Large,1,354,,,,,,,,,,,,,,
Clarion University of Pennsylvania,Associate's degree;Bachelor's degree;Master's degree;Post-master's certificate,840 Wood St,Clarion,PA,16214,USA,Clarion,42031,,,EST,Y,(814) 393-2000,,http://www.clarion.edu,,Public,4 Years,Town: Remote,1,7346,19 to 1,,,,,,,,,,,,,
Clark Atlanta University,Bachelor's degree;Master's degree;Post-master's certificate,223 James P Brawley Dr SW,Atlanta,GA,30310,USA,Fulton,13121,520,,EST,Y,(404) 880-8000,,http://www.cau.edu,,Private (Not For Profit),4 Years,City: Large,1,3873,17 to 1,,,,,,,,,,,,,
Clark University,Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,950 Main St,Worcester,MA,1610,USA,Worcester,25027,,9240,EST,Y,(508) 793-7711,,http://www.clarku.edu,,Private (Not For Profit),4 Years,City: Midsize,1,3416,10 to 1,,,,,,,,,,,,,
Clarke University,Associate's degree;Bachelor's degree;Master's degree;Post-master's certificate,1550 Clarke Dr,Dubuque,IA,52001,USA,Dubuque,19061,2200,,CST,Y,(563) 588-6300,,http://www.clarke.edu,,Private (Not For Profit),4 Years,City: Small,1,1202,11 to 1,,,,,,,,,,,,,
Clarkson College,Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree;Post-master's certificate,101 S 42nd St,Omaha,NE,68131,USA,Douglas,31055,5920,,CST,Y,(402) 552-3100,,http://www.clarksoncollege.edu/,,Private (Not For Profit),4 Years,City: Large,1,934,13 to 1,,,,,,,,,,,,,
Clarkson University,Bachelor's degree;Master's degree,8 Clarkson Ave,Potsdam,NY,13676,USA,Saint Lawrence,36089,,,EST,Y,(315) 268-6400,,http://www.clarkson.edu,,Private (Not For Profit),4 Years,Town: Remote,1,3187,16 to 1,,,,,,,,,,,,,
Clayton State University,Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree,2000 Clayton State Blvd,Morrow,GA,30260,USA,Clayton,13063,520,,EST,Y,(678) 466-4000,,http://www.clayton.edu,,Public,4 Years,Suburb: Large,1,6587,19 to 1,,,,,,,,,,,,,
Clear Creek Baptist Bible College,Less than one year certificate;One but less than two years certificate;Associate's degree;Two but less than 4 years certificate;Bachelor's degree,300 Clear Creek Rd,Pineville,KY,40977,USA,Bell,21013,,,EST,Y,(606) 337-3196,,http://www.ccbbc.edu,,Private (Not For Profit),4 Years,Rural: Distant,1,182,19 to 1,,,,,,,,,,,,,
Clearwater Christian College,Associate's degree;Bachelor's degree;Master's degree,3400 Gulf to Bay Blvd,Clearwater,FL,33759,USA,Pinellas,12103,8280,,EST,Y,(727) 726-1153,,http://www.clearwater.edu,,Private (Not For Profit),4 Years,City: Midsize,1,574,16 to 1,,,,,,,,,,,,,
Cleary University,One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,3750 Cleary Dr,Howell,MI,48843,USA,Livingston,26093,,440,EST,Y,(800) 686-1883,,http://www.cleary.edu/,,Private (Not For Profit),4 Years,,0,,,,,,,,,,,,,,,
Cleary University,Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,3601 Plymouth Rd,Ann Arbor,MI,48105,USA,Washtenaw,26161,,440,EST,Y,(800) 686-1883,,http://www.cleary.edu,,Private (Not For Profit),4 Years,City: Midsize,0,774,13 to 1,,,,,,,,,,,,,
Clemson University,Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,201 Sikes Hall,Clemson,SC,29631,USA,Pickens,45077,3160,,EST,Y,(864) 656-4636,,http://www.clemson.edu,,Public,4 Years,Town: Fringe,1,19111,16 to 1,,,,,,,,,,,,,
Cleveland Chiropractic College,Associate's degree;Bachelor's degree;Master's degree,10850 Lowell Ave,Overland Park,KS,66210,USA,Johnson,20091,3760,,CST,Y,(913) 234-0600,,http://www.cleveland.edu,,Private (Not For Profit),4 Years,City: Midsize,0,566,18 to 1,,,,,,,,,,,,,
Cleveland Chiropractic College of Los Angeles,Associate's degree;Bachelor's degree,590 N Vermont Ave,Los Angeles,CA,90004,USA,Los Angeles,6037,,4480,PST,Y,(323) 660-6166,,http://www.cleveland.edu,,Private (Not For Profit),4 Years,City: Large,0,346,10 to 1,,,,,,,,,,,,,
Cleveland Institute of Art,Bachelor's degree,11141 East Blvd,Cleveland,OH,44106,USA,Cuyahoga,39035,,1680,EST,Y,(216) 421-7000,,http://www.cia.edu,,Private (Not For Profit),4 Years,City: Large,1,507,11 to 1,,,,,,,,,,,,,
Cleveland Institute of Music,Two but less than 4 years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree,11021 East Blvd,Cleveland,OH,44106,USA,Cuyahoga,39035,,1680,EST,Y,(216) 791-5000,,http://www.cim.edu,,Private (Not For Profit),4 Years,City: Large,1,437,7 to 1,,,,,,,,,,,,,
Cleveland State University,Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,2121 Euclid Ave,Cleveland,OH,44115,USA,Cuyahoga,39035,,1680,EST,Y,(216) 687-2000,,http://www.csuohio.edu/,,Public,4 Years,City: Large,1,16216,16 to 1,,,,,,,,,,,,,
Coastal Carolina University,Bachelor's degree;Postbaccalaureate certificate;Master's degree,108 James P Blanton Cir,Conway,SC,29526,USA,Horry,45051,5330,,EST,Y,(843) 347-3161,,http://www.coastal.edu,,Public,4 Years,City: Small,1,8360,18 to 1,,,,,,,,,,,,,
Coe College,Bachelor's degree;Master's degree,1220 1st Ave NE,Cedar Rapids,IA,52402,USA,Linn,19113,1360,,CST,Y,(319) 399-8000,,http://www.coe.edu,,Private (Not For Profit),4 Years,City: Midsize,1,1300,11 to 1,,,,,,,,,,,,,
Cogswell Polytechnical College,Bachelor's degree,1175 Bordeaux Dr,Sunnyvale,CA,94089,USA,Santa Clara,6085,,7400,PST,Y,(408) 541-0100,,http://www.cogswell.edu,,Private (Not For Profit),4 Years,Rural: Fringe,1,199,7 to 1,,,,,,,,,,,,,
Coker College,Bachelor's degree,300 E College Ave,Hartsville,SC,29550,USA,Darlington,45031,,,EST,Y,(843) 383-8000,,http://www.coker.edu,,Private (Not For Profit),4 Years,Town: Distant,1,1141,12 to 1,,,,,,,,,,,,,
Colby College,Bachelor's degree,4000 Mayflower Hill Dr,Waterville,ME,4901,USA,Kennebec,23011,,,EST,Y,(207) 859-4000,,http://www.colby.edu,,Private (Not For Profit),4 Years,Town: Remote,1,1838,10 to 1,,,,,,,,,,,,,
Colby-Sawyer College,Associate's degree;Bachelor's degree,541 Main St,New London,NH,3257,USA,Merrimack,33013,,,EST,Y,(603) 526-3000,,http://www.colby-sawyer.edu,,Private (Not For Profit),4 Years,Rural: Remote,1,1122,10 to 1,,,,,,,,,,,,,
Colgate Rochester Crozer Divinity School,Master's degree,1100 Goodman St S,Rochester,NY,14620,USA,Monroe,36055,6840,,EST,Y,(585) 271-1320,,http://www.crcds.edu,,Private (Not For Profit),4 Years,City: Midsize,1,112,,,,,,,,,,,,,,
Colgate University,Bachelor's degree;Master's degree,13 Oak Dr,Hamilton,NY,13346,USA,Madison,36053,8160,,EST,Y,(315) 228-1000,,http://www.colgate.edu,,Private (Not For Profit),4 Years,Town: Distant,1,2837,10 to 1,,,,,,,,,,,,,
College for Creative Studies,Bachelor's degree;Postbaccalaureate certificate;Master's degree,201 E Kirby St,Detroit,MI,48202,USA,Wayne,26163,,2160,EST,Y,(313) 664-7400,,http://www.collegeforcreativestudies.edu,,Private (Not For Profit),4 Years,City: Large,1,1405,10 to 1,,,,,,,,,,,,,
College of Biblical Studies-Houston,One but less than two years certificate;Associate's degree;Bachelor's degree,7000 Regency Square Blvd,Houston,TX,77036,USA,Harris,48201,,3360,CST,Y,(713) 785-5995,,http://www.cbshouston.edu,,Private (Not For Profit),4 Years,City: Large,0,617,21 to 1,,,,,,"Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,"Describe a problem you've solved or a problem you'd like to solve. It can be an intellectual challenge, a research query, an ethical dilemma - anything that is of personal importance, no matter the scale. Explain its significance to you and what steps you took or could be taken to identify a solution."," Discuss an accomplishment or event, formal or informal, that marked your transition from childhood to adulthood within your culture, community, or family.",,,
College of Charleston,Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,66 George St,Charleston,SC,29424,USA,Charleston,45019,1440,,EST,Y,(843) 953-5500,,http://www.cofc.edu,,Public,4 Years,City: Midsize,1,11772,16 to 1,,,,,,,,,,,,,
College of Mount Saint Vincent,Associate's degree;Bachelor's degree;Master's degree;Post-master's certificate,6301 Riverdale Ave,Bronx,NY,10471,USA,Bronx,36005,,5600,EST,Y,(718) 405-3200,,http://www.mountsaintvincent.edu,,Private (Not For Profit),4 Years,City: Large,1,1894,13 to 1,,,,,,,,,,,,,
College of Mount St. Joseph,Less than one year certificate;One but less than two years certificate;Associate's degree;Two but less than 4 years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree,5701 Delhi Rd,Cincinnati,OH,45233,USA,Hamilton,39061,,1640,EST,Y,(513) 244-4200,,http://www.msj.edu,,Private (Not For Profit),4 Years,Suburb: Large,1,2324,12 to 1,,,,,,,,,,,,,
College of Notre Dame of Maryland,Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,4701 N Charles St,Baltimore,MD,21212,USA,Baltimore City,24510,,720,EST,Y,(410) 435-0100,,http://www.ndm.edu,,Private (Not For Profit),4 Years,City: Large,1,2971,11 to 1,,,,,,,,,,,,,
College of Our Lady of the Elms,One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree;Post-master's certificate,291 Springfield St,Chicopee,MA,1013,USA,Hampden,25013,8000,,EST,Y,(413) 594-2761,,http://www.elms.edu,,Private (Not For Profit),4 Years,Suburb: Large,1,1260,11 to 1,,,,,,,,,,,,,
College of Saint Benedict,Bachelor's degree,37 College Ave S,St Joseph,MN,56374,USA,Stearns,27145,6980,,CST,Y,(320) 363-5011,,http://www.csbsju.edu,,Private (Not For Profit),4 Years,Suburb: Small,1,2105,12 to 1,,,,,,,,,,,,,
College of Saint Elizabeth,One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree,2 Convent Rd,Morristown,NJ,7960,USA,Morris,34027,,5640,EST,Y,(973) 290-4000,,http://www.cse.edu,,Private (Not For Profit),4 Years,Suburb: Large,1,2157,10 to 1,,,,,,,,,,,,,
College of Saint Mary,One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,7000 Mercy Rd,Omaha,NE,68106,USA,Douglas,31055,5920,,CST,Y,(402) 399-2400,,http://www.WWW.CSM.EDU,,Private (Not For Profit),4 Years,City: Large,1,1120,17 to 1,,,,,,,,,,,,,
College of St Joseph,Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,71 Clement Rd,Rutland,VT,5701,USA,Rutland,50021,,,EST,Y,(802) 773-5900,,http://www.csj.edu,,Private (Not For Profit),4 Years,Town: Remote,1,422,9 to 1,,,,,,,,,,,,,
College of St. Mary Magdalen,Associate's degree;Bachelor's degree,511 Kearsarge Mountain Rd,Warner,NH,3278,USA,Merrimack,33013,,,EST,Y,(603) 456-2656,,http://www.magdalen.edu,,Private (Not For Profit),4 Years,Rural: Remote,1,68,11 to 1,,,,,,,,,,,,,
College of the Atlantic,Bachelor's degree;Master's degree,105 Eden St,Bar Harbor,ME,4609,USA,Hancock,23009,,,EST,Y,(207) 288-5015,,http://www.coa.edu,,Private (Not For Profit),4 Years,Town: Remote,1,341,11 to 1,,,,,,,,,,,,,
College of the Holy Cross,Bachelor's degree,1 College St,Worcester,MA,1610,USA,Worcester,25027,,9240,EST,Y,(508) 793-2011,,http://www.holycross.edu,,Private (Not For Profit),4 Years,City: Midsize,1,2932,11 to 1,,,,,,,,,,,,,
College of the Ozarks,Bachelor's degree,100 Opportunity Ave,Hollister,MO,65672,USA,Taney,29213,,,CST,Y,(417) 334-6411,,http://www.cofo.edu,,Private (Not For Profit),4 Years,Town: Distant,1,1347,14 to 1,,,,,,,,,,,,,
College of Visual Arts,Bachelor's degree,344 Summit Ave,St Paul,MN,55102,USA,Ramsey,27123,5120,,CST,Y,(651) 757-4000,,http://www.cva.edu,,Private (Not For Profit),4 Years,City: Large,0,186,9 to 1,,,,,,,,,,,,,
College of William and Mary,Bachelor's degree;Master's degree;Post-master's certificate,P.O. Box 8795,Williamsburg,VA,23187,USA,Williamsburg City,51830,5720,,EST,Y,(757) 221-4000,,http://www.wm.edu,,Public,4 Years,Suburb: Large,1,7874,11 to 1,,,,,,,,,,,,,
Collins College,Associate's degree;Bachelor's degree,4750 S 44th Pl,Phoenix,AZ,85040,USA,Maricopa,4013,6200,,MST,N,(480) 966-3000,,http://www.collinscollege.edu,,Private (For Profit),4 Years,Rural: Fringe,0,1171,20 to 1,,,,,,,,,,,,,
Colorado Christian University,Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,8787 W Alameda Ave,Lakewood,CO,80226,USA,Jefferson,8059,,2080,MST,Y,(303) 963-3000,,http://www.WWW.CCU.EDU,,Private (Not For Profit),4 Years,Suburb: Large,1,2511,9 to 1,,,,,,,,,,,,,
Colorado College,Bachelor's degree;Master's degree,14 E Cache La Poudre St,Colorado Springs,CO,80903,USA,El Paso,8041,1720,,MST,Y,(719) 389-6000,,http://www.coloradocollege.edu,,Private (Not For Profit),4 Years,City: Large,1,2032,10 to 1,,,,,,,,,,,,,
Colorado Heights University,Less than one year certificate;Associate's degree;Bachelor's degree;Master's degree,3001 S Federal Blvd,Denver,CO,80236,USA,Denver,8031,,2080,MST,Y,(303) 937-4200,,http://www.WWW.CHU.EDU,,Private (Not For Profit),4 Years,City: Large,1,222,16 to 1,,,,,,,,,,,,,
Colorado School of Mines,Bachelor's degree;Master's degree;Post-master's certificate,1500 Illinois St,Golden,CO,80401,USA,Jefferson,8059,,2080,MST,Y,(303) 273-3000,,http://www.mines.edu,,Public,4 Years,Suburb: Large,1,5124,17 to 1,,,,,,,,,,,,,
Colorado School of Traditional Chinese Medicine,Master's degree,1441 York St #302,Denver,CO,80206,USA,Denver,8031,,2080,MST,Y,(303) 329-6355,,http://www.cstcm.edu,,Private (For Profit),4 Years,City: Large,0,94,,,,,,,,,,,,,,
Colorado State University,Bachelor's degree;Master's degree,102 Administration Building,Fort Collins,CO,80521,USA,Larimer,8069,2670,,MST,Y,(970) 491-1101,,http://www.colostate.edu,,Public,4 Years,City: Midsize,1,28902,18 to 1,,,,,,,,,,,,,
Colorado State University-Pueblo,Bachelor's degree;Master's degree,2200 Bonforte Blvd,Pueblo,CO,81001,USA,Pueblo,8101,6560,,MST,Y,(719) 549-2100,,http://www.colostate-pueblo.edu,,Public,4 Years,City: Midsize,1,6443,18 to 1,,,,,,,,,,,,,
Colorado Technical University,Associate's degree;Bachelor's degree;Master's degree,5775 Denver Tech Ctr Blvd,Englewood,CO,80111,USA,Arapahoe,8005,,2080,MST,Y,(303) 694-6600,,http://www.coloradotech.edu,,Private (For Profit),4 Years,Suburb: Large,0,1079,19 to 1,,,,,,,,,,,,,
Colorado Technical University,Associate's degree;Bachelor's degree;Master's degree,4435 N Chestnut St,Colorado Springs,CO,80907,USA,El Paso,8041,1720,,MST,Y,(719) 598-0200,,http://www.coloradotech.edu,,Private (For Profit),4 Years,City: Large,0,2690,14 to 1,,,,,,,,,,,,,
Colorado Technical University,Associate's degree;Bachelor's degree;Master's degree,3901 W 59th St,Sioux Falls,SD,57108,USA,Lincoln,46083,7760,,CST,Y,(605) 361-0200,,http://www.coloradotech.edu,,Private (For Profit),4 Years,City: Midsize,0,1060,18 to 1,,,,,,,,,,,,,
Columbia College,Less than one year certificate;Associate's degree;Bachelor's degree;Master's degree,1001 Rogers St,Columbia,MO,65216,USA,Boone,29019,1740,,CST,Y,(573) 875-8700,,http://www.ccis.edu,,Private (Not For Profit),4 Years,City: Small,1,15556,33 to 1,,,,,,,,,,,,,
Columbia College,Bachelor's degree;Master's degree,1301 Columbia College Dr,Columbia,SC,29203,USA,Richland,45079,1760,,EST,Y,(803) 786-3012,,http://www.columbiacollegesc.edu,,Private (Not For Profit),4 Years,City: Midsize,1,1444,13 to 1,,,,,,,,,,,,,
Columbia College Chicago,One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree,600 S Michigan Ave,Chicago,IL,60605,USA,Cook,17031,,1600,CST,Y,(312) 663-1600,,http://www.colum.edu,,Private (Not For Profit),4 Years,City: Large,1,12127,11 to 1,,,,,,,,,,,,,
Columbia College Hollywood,Associate's degree;Bachelor's degree,18618 Oxnard St,San Fernando Valley,CA,91356,USA,Los Angeles,6037,,4480,PST,Y,(818) 345-8414,,http://www.WWW.COLUMBIACOLLEGE.EDU,,Private (Not For Profit),4 Years,City: Large,1,341,13 to 1,,,,,,,,,,,,,
Columbia International University,One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,7435 Monticello Rd,Columbia,SC,29203,USA,Richland,45079,1760,,EST,Y,(803) 754-4100,,http://www.ciu.edu,,Private (Not For Profit),4 Years,Suburb: Large,1,1139,17 to 1,,,,,,,,,,,,,
Columbia Southern University,Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,21982 University Lane,Orange Beach,AL,36561,USA,Baldwin,1003,5160,,CST,Y,(251) 981-3771,info@columbiasouthern.edu,http://www.columbiasouthern.edu,,Private (For Profit),4 Years,,0,13321,50 to 1,,,,,,,,,,,,,
Columbia Theological Seminary,Master's degree,701 S Columbia Dr,Decatur,GA,30030,USA,Dekalb,13089,520,,EST,Y,(404) 378-8821,,http://www.WWW.CTSNET.EDU,,Private (Not For Profit),4 Years,Suburb: Large,1,286,,,,,,,,,,,,,,
Columbia University in the City of New York,Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,West 116 St and Broadway,New York,NY,10027,USA,New York,36061,,5600,EST,Y,(212) 854-1754,,http://www.columbia.edu,,Private (Not For Profit),4 Years,City: Large,1,24230,6 to 1,,,,,,,,,,,,,
Columbus College of Art and Design,Bachelor's degree;Master's degree,60 Cleveland Ave,Columbus,OH,43215,USA,Franklin,39049,1840,,EST,Y,(614) 224-9101,,http://www.WWW.CCAD.EDU,,Private (Not For Profit),4 Years,City: Large,1,1425,12 to 1,,,,,,,,,,,,,
Columbus State University,Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,4225 University Ave,Columbus,GA,31907,USA,Muscogee,13215,1800,,EST,Y,(706) 507-8800,,http://www.colstate.edu,,Public,4 Years,City: Midsize,1,8178,18 to 1,,,,,,,,,,,,,
Conception Seminary College,Bachelor's degree;Postbaccalaureate certificate,37174 State Highway J,Conception,MO,64433,USA,Nodaway,29147,,,CST,Y,(660) 944-3105,,http://www.conception.edu,,Private (Not For Profit),4 Years,Rural: Remote,1,115,4 to 1,,,,,,,,,,,,,
Concord University,Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,100 Vermillion St,Athens,WV,24712,USA,Mercer,54055,,,EST,Y,(888) 384-5249,,http://www.concord.edu,,Public,4 Years,Town: Remote,1,2882,21 to 1,,,,,,,,,,,,,
Concordia College at Moorhead,Bachelor's degree;Master's degree,901 8th St S,Moorhead,MN,56560,USA,Clay,27027,2520,,CST,Y,(218) 299-4100,,http://www.cord.edu,,Private (Not For Profit),4 Years,Suburb: Midsize,1,2811,13 to 1,,,,,,,,,,,,,
Concordia College-New York,Associate's degree;Bachelor's degree,171 White Plains Rd,Bronxville,NY,10708,USA,Westchester,36119,,5600,EST,Y,(914) 337-9300,,http://www.concordia-ny.edu,,Private (Not For Profit),4 Years,Suburb: Large,1,686,11 to 1,,,,,,,,,,,,,
Concordia College-Selma,Associate's degree;Bachelor's degree,1804 Green St,Selma,AL,36703,USA,Dallas,1047,,,CST,Y,(334) 526-9141,admissions@concordiaselma.edu,http://www.concordiaselma.edu,,Private (Not For Profit),4 Years,Town: Remote,1,568,22 to 1,,,,,,,,,,,,,
Concordia Seminary,Postbaccalaureate certificate;Master's degree,801 Seminary Pl,Clayton,MO,63105,USA,Saint Louis,29189,7040,,CST,Y,(314) 505-7000,,http://www.csl.edu,,Private (Not For Profit),4 Years,Suburb: Large,1,472,,,,,,,,,,,,,,
Concordia Theological Seminary,Master's degree,6600 N Clinton St,Fort Wayne,IN,46825,USA,Allen,18003,2760,,EST,N,(260) 452-2100,,http://www.ctsfw.edu,,Private (Not For Profit),4 Years,City: Midsize,1,379,,,,,,,,,,,,,,
Concordia University,Associate's degree;Bachelor's degree;Master's degree,1530 Concordia,Irvine,CA,92612,USA,Orange,6059,,5945,PST,Y,(949) 854-8002,,http://www.cui.edu,,Private (Not For Profit),4 Years,City: Midsize,1,2564,19 to 1,,,,,,,,,,,,,
Concordia University,Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,7400 Augusta St,River Forest,IL,60305,USA,Cook,17031,,1600,CST,Y,(708) 771-8300,,http://www.cuchicago.edu,,Private (Not For Profit),4 Years,Suburb: Large,1,5049,10 to 1,,,,,,,,,,,,,
Concordia University,Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree,800 N Columbia Ave,Seward,NE,68434,USA,Seward,31159,,,CST,Y,(800) 535-5494,,http://www.cune.edu,,Private (Not For Profit),4 Years,Town: Distant,1,1717,17 to 1,,,,,,,,,,,,,
Concordia University,Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,2811 NE Holman St,Portland,OR,97211,USA,Multnomah,41051,,6440,PST,Y,(503) 288-9371,,http://www.cu-portland.edu,,Private (Not For Profit),4 Years,City: Large,1,1901,13 to 1,,,,,,,,,,,,,
Concordia University Texas,Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,11400 Concordia University Dr,Austin,TX,78726,USA,Travis,48453,640,,CST,Y,(512) 313-3000,,http://www.concordia.edu,,Private (Not For Profit),4 Years,City: Large,1,2242,10 to 1,,,,,,"Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,"Describe a problem you've solved or a problem you'd like to solve. It can be an intellectual challenge, a research query, an ethical dilemma - anything that is of personal importance, no matter the scale. Explain its significance to you and what steps you took or could be taken to identify a solution."," Discuss an accomplishment or event, formal or informal, that marked your transition from childhood to adulthood within your culture, community, or family.",,,
Concordia University-Ann Arbor,Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,4090 Geddes Rd,Ann Arbor,MI,48105,USA,Washtenaw,26161,,440,EST,Y,(734) 995-7300,,http://www.cuaa.edu,,Private (Not For Profit),4 Years,City: Midsize,1,757,14 to 1,,,,,,,,,,,,,
Concordia University-Saint Paul,Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,275 Syndicate St N,St Paul,MN,55104,USA,Ramsey,27123,5120,,CST,Y,(651) 641-8278,,http://www.csp.edu,,Private (Not For Profit),4 Years,City: Large,1,2816,18 to 1,,,,,,,,,,,,,
Concordia University-Wisconsin,One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,12800 N Lake Shore Dr,Mequon,WI,53097,USA,Ozaukee,55089,,5080,CST,Y,(262) 243-5700,,http://www.cuw.edu,,Private (Not For Profit),4 Years,Rural: Fringe,1,7178,12 to 1,,,,,,,,,,,,,
Connecticut College,Bachelor's degree;Master's degree,270 Mohegan Ave,New London,CT,6320,USA,New London,9011,5520,,EST,Y,(860) 447-1911,,http://www.connecticutcollege.edu,,Private (Not For Profit),4 Years,City: Small,1,1911,9 to 1,,,,,,,,,,,,,
Converse College,Bachelor's degree;Master's degree;Post-master's certificate,580 E Main St,Spartanburg,SC,29302,USA,Spartanburg,45083,3160,,EST,Y,(864) 596-9000,,http://www.converse.edu,,Private (Not For Profit),4 Years,City: Small,1,1720,14 to 1,,,,,,,,,,,,,
Conway School of Landscape Design,Master's degree,332 S Deerfield Rd,Conway,MA,1341,USA,Franklin,25011,,,EST,Y,(413) 369-4044,,http://www.csld.edu,,Private (Not For Profit),4 Years,Rural: Distant,0,19,,,,,,,,,,,,,,
Cooper Health System Center for Allied Health Education,One but less than two years certificate;Two but less than 4 years certificate;Postbaccalaureate certificate,1 Cooper Plaza,Camden,NJ,8103,USA,Camden,34007,,6160,EST,Y,(856) 342-2000,,http://www.cooperhealth.org,,Private (Not For Profit),4 Years,City: Small,0,47,4 to 1,,,,,,,,,,,,,
Cooper Union for the Advancement of Science and Art,Two but less than 4 years certificate;Bachelor's degree;Master's degree,7 East 7th Street,New York,NY,10003,USA,New York,36061,,5600,EST,Y,(212) 353-4100,,http://www.cooper.edu,,Private (Not For Profit),4 Years,City: Large,1,995,9 to 1,,,,,,,,,,,,,
Coppin State University,Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,2500 W North Ave,Baltimore,MD,21216,USA,Baltimore City,24510,,720,EST,Y,(410) 951-3000,,http://www.coppin.edu,,Public,4 Years,City: Large,1,3801,14 to 1,,,,,,,,,,,,,
Corban University,One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree,5000 Deer Park Dr SE,Salem,OR,97317,USA,Marion,41047,,7080,PST,Y,(503) 581-8600,,http://www.corban.edu,,Private (Not For Profit),4 Years,City: Midsize,1,1103,14 to 1,,,,,,,,,,,,,
Corban University School of Ministry,Master's degree,4301 N Stevens St,Tacoma,WA,98407,USA,Pierce,53053,,8200,PST,Y,(253) 759-6104,,http://www.nbs.edu,,Private (Not For Profit),4 Years,City: Midsize,0,70,,,,,,,,,,,,,,
Corcoran College of Art and Design,Less than one year certificate;Associate's degree;Bachelor's degree;Master's degree,500 17th St NW,Washington D.C.,DC,20006,USA,District of Columbia,11001,,8840,EST,Y,(202) 639-1800,,http://www.corcoran.edu,,Private (Not For Profit),4 Years,City: Large,1,921,24 to 1,,,,,,,,,,,,,
Cornell College,Bachelor's degree,600 1st St SW,Mt Vernon,IA,52314,USA,Linn,19113,1360,,CST,Y,(319) 895-4000,,http://www.cornellcollege.edu,,Private (Not For Profit),4 Years,Town: Fringe,1,1133,12 to 1,,,,,,,,,,,,,
Cornell University,One but less than two years certificate;Bachelor's degree;Master's degree,930 Campus Rd,Ithaca,NY,14853,USA,Tompkins,36109,,,EST,Y,(607) 255-2000,,http://www.cornell.edu,,Private (Not For Profit),4 Years,City: Small,1,20633,12 to 1,,,,,,,,,,,,,
Cornerstone University,One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree,1001 East Beltline Ave NE,Grand Rapids,MI,49525,USA,Kent,26081,3000,,EST,Y,(616) 949-5300,,http://www.cornerstone.edu,,Private (Not For Profit),4 Years,City: Midsize,1,2606,19 to 1,,,,,,,,,,,,,
